epoch,trainingLoss,testLoss,epochs,lr,training_r2,testing_r2,training_rmse,testing_rmse,W0,W1,W2,W3,W4,W5,W6,W7,W8
11,244.43470092515415,301.9785515840892,2000,0.1,0.03480556085471298,0.027145222654886503,15.634407597512421,17.377530077202834,15.639942245407244,8.595571615145339,4.028130605465155,4.186302050385351,7.2074803275556825,4.796469766495745,7.693608890902588,6.816223259183199,3.02127250865169
12,240.3470668711198,297.5345243002916,2000,0.1,0.05094632009749722,0.0414621108941845,15.503130873185578,17.249189091093285,15.86313321618825,8.854066891630058,4.12340824512835,4.199985269012245,7.2538954444911505,4.926378187692127,7.740770614069566,6.8576022621887205,3.1354929094527058
13,237.31802485928267,294.01659862843894,2000,0.1,0.06290703800987685,0.052795468108641774,15.405129822863639,17.146912218485255,16.040987012652774,9.09298533403757,4.209841924160969,4.201505183958998,7.278668313923198,5.047383815447097,7.765316260941665,6.878964761129293,3.2437932609840967
14,234.96782630154976,291.13362441648184,2000,0.1,0.07218722028442892,0.06208326427943778,15.328660290499942,17.06263826072867,16.182666064814562,9.316052803151864,4.289169144658989,4.193498506996391,7.286185732320582,5.161227331502158,7.771908107612917,6.884433616165996,3.347309768034184
15,233.05474091581405,288.69208143920224,2000,0.1,0.07974138247553142,0.06994894459706269,15.266130515484729,16.99094115813489,16.295479455370973,9.52624345810147,4.36277646359776,4.178066022796396,7.2799474885171,5.269297125272539,7.764264798986909,6.877297035200412,3.446949262490165
16,231.42486639643545,286.5622386309538,2000,0.1,0.08617723555471646,0.07681045095282668,15.212654810927495,16.928149297278594,16.385257834341836,9.725931799168318,4.431770478449077,4.156881037550724,7.262745789946874,5.372700567011384,7.745352239484676,6.860177424295526,3.543435597743495
17,229.98019032548035,284.65628165387676,2000,0.1,0.09188179920617234,0.08295068621402979,15.16509776841153,16.871759886090032,16.456652491673456,9.917013953849764,4.497034453120702,4.1312758888727465,7.236808392590963,5.472320862887092,7.717535868176827,6.835166080987958,3.6373466579780938
18,228.6582666935389,282.91412523256815,2000,0.1,0.09710165274454241,0.08856322123832794,15.121450548592847,16.820051285075447,16.51337393000956,10.101004428000703,4.559273489058021,4.102310955006117,7.203912777065766,5.568862408632725,7.682702129944101,6.803930640187012,3.7291438808701254
19,227.41928324793682,281.2941704327896,2000,0.1,0.10199400201967423,0.09378207124532534,15.080427157343284,16.771826687418088,16.5583821762333,10.279113285259793,4.619050558723036,4.070829703588709,7.165477227972111,5.6628869684109455,7.642355374049071,6.767800784583064,3.8191958081718003
20,226.2378319119,279.7672522642298,2000,0.1,0.10665917539868908,0.09870119423305457,15.041204470118076,16.72624441601371,16.594038594618414,10.452307713949633,4.6768152499129,4.037502604058077,7.1226334887783525,5.75484253487764,7.597695150945728,6.727836616472474,3.907796872286703
21,225.0976719509813,278.31265218423545,2000,0.1,0.11116130234649835,0.10338733710487724,15.003255378449747,16.682705181841328,16.622226989488006,10.621361139730167,4.732926695451927,4.002862156495802,7.0762847193494505,5.845086350977648,7.549677872597456,6.684883198449087,3.9951823825542325
22,223.98839754143057,276.91545227267306,2000,0.1,0.11554147213226196,0.10788855946566833,14.966241931140582,16.64077679294669,16.644450209853463,10.786892403391457,4.787671864505326,3.96733083398613,7.027151729270777,5.933903274506603,7.499065999433241,6.639614060884849,4.081540480008836
